City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kahului,US,1569358502,20.89,-156.47,89.6,83,40,3.36
Codrington,AU,1569358503,-28.95,153.24,61,93,40,2.57
Ushuaia,AR,1569358503,-54.81,-68.31,51.8,70,20,32.21
Dikson,RU,1569358503,73.51,80.55,36.13,96,100,21.54
Touros,BR,1569358504,-5.2,-35.46,80.6,61,0,13.87
Thompson,CA,1569358504,55.74,-97.86,55.4,62,75,17.22
Rikitea,PF,1569358504,-23.12,-134.97,70.69,67,57,6.33
Nikolayevka,RU,1569358504,46.73,38.57,55.93,64,81,14.09
Evanston,US,1569358505,42.04,-87.69,81,50,1,14.99
Menongue,AO,1569358505,-14.66,17.68,65.47,16,0,5.17
Atuona,PF,1569358505,-9.8,-139.03,79.69,77,0,19.15
Butaritari,KI,1569358506,3.07,172.79,85.27,68,35,10.11
Hithadhoo,MV,1569358506,-0.6,73.08,79.87,81,100,21.21
Port Elizabeth,US,1569358506,39.31,-74.98,80.6,47,1,5.82
Villamontes,BO,1569358507,-21.26,-63.47,91.4,31,57,5.82
New Norfolk,AU,1569358507,-42.78,147.06,46.99,81,20,6.93
Gizo,IL,1569358507,31.8,34.94,77,65,0,3.36
Coahuayana,MX,1569358508,18.62,-100.35,86.53,66,31,1.74
Chumikan,RU,1569358508,54.72,135.31,30.37,72,0,10.42
Tiksi,RU,1569358508,71.64,128.87,32.89,85,100,8.84
Sola,TZ,1569358509,-3.17,33.8,75.19,58,74,3.2
Dakar,SN,1569358475,14.69,-17.45,84.2,88,15,3.36
Castro,CL,1569358509,-42.48,-73.76,60.8,77,0,8.05
Mataura,NZ,1569358509,-46.19,168.86,43,80,100,11.99
Hobart,AU,1569358510,-42.88,147.33,46.99,81,20,6.93
Albany,US,1569358424,42.65,-73.75,69.01,82,90,5.82
Bluff,AU,1569358510,-23.58,149.07,65.83,85,83,8.79
Sao Filipe,CV,1569358510,14.9,-24.5,81.31,81,100,2.68
Punta Arenas,CL,1569358511,-53.16,-70.91,53.6,50,40,25.28
Kochubey,RU,1569358511,44.39,46.54,60.79,85,88,7.11
Caravelas,BR,1569358511,-17.73,-39.27,71.05,72,22,12.5
Gunnedah,AU,1569358512,-30.98,150.25,44.01,64,40,4.7
Barrow,AR,1569358512,-38.31,-60.23,65.65,61,0,8.01
Tapiramuta,BR,1569358512,-11.85,-40.79,69.61,72,26,7.45
Batie,FR,1569358513,45.06,5.82,62.01,93,48,5.82
Margate,AU,1569358513,-43.03,147.26,46.99,81,20,6.93
Ancud,CL,1569358513,-41.87,-73.83,60.8,77,0,8.05
Lata,IN,1569358514,30.78,78.62,34.69,93,1,1.83
Ribeira Grande,PT,1569358514,38.52,-28.7,68,72,20,5.82
Port Alfred,ZA,1569358514,-33.59,26.89,60.01,64,58,4
Muncar,ID,1569358514,-8.43,114.34,69.61,97,29,3.06
Standerton,ZA,1569358515,-26.94,29.24,48.99,85,52,5.99
Tuktoyaktuk,CA,1569358515,69.44,-133.03,39.2,86,75,6.93
East London,ZA,1569358515,-33.02,27.91,53.59,74,96,2.3
Langsa,ID,1569358515,4.47,97.97,67.63,89,57,3.11
San-Pedro,CI,1569358516,4.75,-6.64,72.49,99,100,3.33
Hasaki,JP,1569358516,35.73,140.83,69.8,88,75,10.29
Busselton,AU,1569358516,-33.64,115.35,57,74,74,15.79
Avera,US,1569358517,33.19,-82.53,96.8,36,40,6.93
Makakilo City,US,1569358517,21.35,-158.09,86,58,40,10.29
Hermanus,ZA,1569358517,-34.42,19.24,62.01,80,0,14
Mount Gambier,AU,1569358517,-37.83,140.78,42.8,100,75,4.7
Mar del Plata,AR,1569358428,-46.43,-67.52,68.53,27,0,12.37
Faya,SA,1569358518,18.39,42.45,75.2,68,0,4.7
Padang,ID,1569358518,-0.92,100.36,78.79,86,100,15.46
Inhambane,MZ,1569358519,-23.87,35.38,66.73,77,89,7.94
Esperance,AU,1569358519,-33.86,121.89,57.2,44,99,14.99
Miraflores,PE,1569358520,-16.39,-71.52,69.8,16,0,9.17
Sinnamary,GF,1569358520,5.38,-52.96,82.21,79,71,12.01
Kapaa,US,1569358520,22.08,-159.32,84.2,70,40,11.41
Vaini,IN,1569358521,15.34,74.49,75.01,97,100,2.44
Eyl,SO,1569358521,7.98,49.82,74.65,74,100,16.04
Togur,RU,1569358521,58.36,82.83,40.81,88,99,8.28
Hirara,JP,1569358522,24.8,125.28,76.81,78,13,16.84
Norman Wells,CA,1569358522,65.28,-126.83,46.4,65,40,10.29
Kaitangata,NZ,1569358522,-46.28,169.85,39,78,100,5.99
Jamestown,AU,1569358396,-33.21,138.6,44.23,87,0,9.04
Hilo,US,1569358523,19.71,-155.08,84.2,62,90,10.29
Nabire,ID,1569358523,-3.36,135.5,70.51,98,100,3.09
Alofi,NU,1569358524,-19.06,-169.92,73.4,64,75,10.29
Saint-Philippe,CA,1569358524,45.36,-73.48,62.6,67,90,9.17
Troitskoye,RU,1569358524,52.98,84.68,47.47,72,30,3.47
Vardo,US,1569358525,39.62,-77.74,78.01,41,75,6.93
Coihaique,CL,1569358525,-45.58,-72.07,57.2,67,75,5.82
